"Sudoku","ConflictsBefore","ConflictsAfter","Difference","NumAddedClauses"
"sud929",3975,2812,-1163,7
"sud930",0,2,2,2
"sud932",0,1,1,1
"sud935",1252,1255,3,3
"sud936",1,2,1,1
"sud937",0,6,6,6
"sud939",4,4,0,0
"sud94",0,10,10,10
"sud940",0,4,4,4
"sud941",22,22,0,0
"sud944",0,3,3,3
"sud945",0,2,2,2
"sud949",1824,642,-1182,3
"sud95",12,16,4,4
"sud950",18,23,5,5
"sud952",0,4,4,4
"sud954",8,12,4,4
"sud955",42,49,7,7
"sud956",0,2,2,2
"sud957",0,3,3,3
"sud958",0,4,4,4
"sud959",0,11,11,11
"sud96",21022,21023,1,1
"sud960",2,3,1,1
"sud961",1814,279,-1535,6
"sud962",0,1,1,1
"sud964",0,5,5,5
"sud965",12501,12504,3,3
"sud968",35,45,10,10
"sud97",4,5,1,1
"sud970",0,6,6,6
"sud971",0,5,5,5
"sud976",0,3,3,3
"sud977",0,1,1,1
"sud978",1699,1708,9,9
"sud980",0,2,2,2
"sud981",130,139,9,9
"sud982",0,3,3,3
"sud983",0,2,2,2
"sud985",0,3,3,3
"sud986",18,22,4,11
"sud987",2,3,1,1
"sud989",0,2,2,2
"sud99",11,22,11,12
"sud990",0,10,10,10
"sud991",16,20,4,4
"sud992",0,6,6,6
"sud993",16,23,7,7
"sud994",4,4,0,3
"sud995",0,0,0,0
"sud997",61,63,2,2
"sud998",0,16,16,16
